,restaurant_id,restaurant_name,length,ave_rating,comment_amount,topic_id,topic_words
0,0,茱莉金牛排餐酒館,634,4.5,967,26,"['""牛排"" ', '""服務"" ', '""龍蝦"" ', '""用餐"" ', '""餐點"" ', '""市場"" ', '""餐廳"" ', '""麵包"" ', '""環境"" ', '""薯條""']"
1,1,Okaeri お帰り 你回來啦拉麵,840,4.3,2769,28,"['""拉麵"" ', '""湯頭"" ', '""豚骨"" ', '""叉燒"" ', '""味道"" ', '""排隊"" ', '""麵條"" ', '""喜歡"" ', '""濃厚"" ', '""日式""']"
2,2,和牛涮 日式鍋物放題 台北忠孝東店,840,4.8,21588,17,"['""服務"" ', '""新鮮"" ', '""用餐"" ', '""店員"" ', '""態度"" ', '""親切"" ', '""品質"" ', '""時間"" ', '""舒芙蕾"" ', '""東西""']"
3,3,狗一下居食酒屋 忠孝店,840,4.8,18200,17,"['""服務"" ', '""新鮮"" ', '""用餐"" ', '""店員"" ', '""態度"" ', '""親切"" ', '""品質"" ', '""時間"" ', '""舒芙蕾"" ', '""東西""']"
4,4,蘇阿姨比薩屋,840,4.1,8271,32,"['""炸雞"" ', '""小籠包"" ', '""披薩"" ', '""服務"" ', '""湯包"" ', '""味道"" ', '""鼎泰豐"" ', '""用餐"" ', '""炒飯"" ', '""價格""']"
5,5,Intention,840,4.9,11238,15,"['""調酒"" ', '""酸菜"" ', '""服務"" ', '""蔥油餅"" ', '""味道"" ', '""白肉鍋"" ', '""適合"" ', '""喜歡"" ', '""餐點"" ', '""朋友""']"
6,6,Solo Pasta 義大利麵,840,4.6,11274,19,"['""義大利麵"" ', '""味道"" ', '""服務"" ', '""鴨胸"" ', '""餐點"" ', '""甜點"" ', '""餐廳"" ', '""提拉米蘇"" ', '""奶油"" ', '""喜歡""']"
7,7,享鴨 烤鴨與中華料理,840,4.7,10962,11,"['""漢堡排"" ', '""服務"" ', '""套餐"" ', '""餐點"" ', '""用餐"" ', '""味道"" ', '""份量"" ', '""環境"" ', '""美味"" ', '""推薦""']"
8,8,師大夜市,840,4.0,17685,2,"['""夜市"" ', '""師大"" ', '""東西"" ', '""滷味"" ', '""衣服"" ', '""小吃"" ', '""美食"" ', '""食物"" ', '""商圈"" ', '""上菜""']"
9,9,詹記麻辣火鍋 敦南店,840,4.4,5120,36,"['""鴨血"" ', '""麻辣"" ', '""麻辣鍋"" ', '""服務"" ', '""豆腐"" ', '""詹記"" ', '""湯頭"" ', '""火鍋"" ', '""用餐"" ', '""推薦""']"
10,10,漢來海港 敦化店,840,4.2,10829,37,"['""服務"" ', '""餐點"" ', '""用餐"" ', '""菜色"" ', '""選擇"" ', '""甜點"" ', '""食物"" ', '""新鮮"" ', '""啤酒"" ', '""餐廳""']"
11,11,JAPOLI義大利餐酒館 新生店,730,4.4,1088,16,"['""餐點"" ', '""服務"" ', '""義大利麵"" ', '""用餐"" ', '""鬆餅"" ', '""燉飯"" ', '""味道"" ', '""適合"" ', '""環境"" ', '""餐廳""']"
12,12,泰街頭,840,3.8,1876,7,"['""服務"" ', '""店員"" ', '""泰式"" ', '""奶茶"" ', '""味道"" ', '""大阪燒"" ', '""文字燒"" ', '""珍珠"" ', '""餐點"" ', '""喜歡""']"
13,13,惡犬食堂,641,3.9,992,17,"['""服務"" ', '""新鮮"" ', '""用餐"" ', '""店員"" ', '""態度"" ', '""親切"" ', '""品質"" ', '""時間"" ', '""舒芙蕾"" ', '""東西""']"
14,14,沾美西餐廳,773,4.5,4120,3,"['""服務"" ', '""餐點"" ', '""用餐"" ', '""餐廳"" ', '""環境"" ', '""適合"" ', '""味道"" ', '""食物"" ', '""親切"" ', '""美味""']"
15,15,叁和院 (參和院),840,4.2,2748,3,"['""服務"" ', '""餐點"" ', '""用餐"" ', '""餐廳"" ', '""環境"" ', '""適合"" ', '""味道"" ', '""食物"" ', '""親切"" ', '""美味""']"
